Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2330;273;false;23254
1750;286;false;6334
1940;300;false;7902
2420;126;false;11390
2010;193;false;15930
1610;260;false;5942
2940;180;false;16784
2760;193;false;29118
1510;273;false;9298
1250;113;false;6264
1240;246;false;3558
2580;153;false;25214
2020;273;false;16544
1850;246;false;7158
1720;140;false;5736
3000;126;false;16996
2390;126;false;11538
2500;220;false;12726
1610;180;false;5458
2360;233;false;22122
1580;180;false;5224
2710;300;false;14316
1470;206;false;4346
2050;260;false;8818
2180;126;false;9636
1410;153;false;8058
2110;113;false;18140
2740;286;false;14330
1500;140;false;4512
2600;286;false;13196
2100;153;false;18004
2020;246;false;8766
2320;153;false;22276
2190;286;false;9698
2920;153;false;32150
2870;246;false;16188
2090;113;false;17170
1160;180;false;2830
2330;126;false;10220
2790;246;false;15400
1420;246;false;4976
2720;113;false;27370
2800;260;false;14842
1310;286;false;3672
2550;140;false;12036
1930;166;false;7672
2000;273;false;16674
2100;140;false;8820
1770;166;false;6438
1050;206;false;2212
2990;300;false;17220
2260;233;false;20352
1360;273;false;7632
2700;273;false;28264
1740;140;false;6210
3000;166;false;17468
2690;113;false;27428
2350;286;false;10744
2490;193;false;23832
2640;260;false;14584
1250;140;false;3138
2670;260;false;14148
2960;113;false;32142
2150;220;false;9360
1870;300;false;7340
2650;180;false;13954
2120;166;false;8950
2250;220;false;10744
2120;206;false;9244
1320;193;false;6948
1970;153;false;15602
1750;180;false;6304
1010;273;false;4260
1120;260;false;2702
1480;153;false;8638
2480;233;false;23090
1650;140;false;5534
1190;180;false;2926
2630;300;false;13916
2180;180;false;9884
1630;153;false;10660
2460;113;false;24188
1300;126;false;3460
2930;166;false;16522
2410;233;false;22608
2840;166;false;15840
2980;260;false;16918
2270;233;false;20682
2390;113;false;24222
2960;300;false;16938
2930;113;false;32846
1670;300;false;5868
2970;233;false;43892
1890;206;false;7402
2490;140;false;12440
2790;300;false;15286
1540;286;false;4760
1230;246;false;3604
2010;246;false;8482
1320;233;false;7062
2570;246;false;12754
1020;260;false;2208
2520;300;false;13140
1450;153;false;8452
2540;153;false;24600
1630;220;false;5506
2640;166;false;13578
2560;153;false;25298
1640;113;false;10862
2870;113;false;30516
