Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2140;260;false;5876
2130;166;false;4793
1400;166;false;1997
1940;193;false;7659
1070;193;false;2282
2610;193;false;13044
2310;193;false;11372
1100;246;false;1285
2050;273;false;8565
1060;166;false;1133
1490;193;false;4539
2210;286;false;5449
2690;220;false;7386
1200;166;false;1457
2290;286;false;5178
1620;260;false;3050
2700;180;false;7171
1980;260;false;4175
1910;166;false;3754
2330;273;false;11627
1750;286;false;3167
1940;300;false;3951
2420;126;false;5695
2010;193;false;7965
1610;260;false;2971
2940;180;false;8392
2760;193;false;14559
1510;273;false;4649
1250;113;false;3132
1240;246;false;1779
2580;153;false;12607
2020;273;false;8272
1850;246;false;3579
1720;140;false;2868
3000;126;false;8498
2390;126;false;5769
2500;220;false;6363
1610;180;false;2729
2360;233;false;11061
1580;180;false;2612
2710;300;false;7158
1470;206;false;2173
2050;260;false;4409
2180;126;false;4818
1410;153;false;4029
2110;113;false;9070
2740;286;false;7165
1500;140;false;2256
2600;286;false;6598
2100;153;false;9002
2020;246;false;4383
2320;153;false;11138
2190;286;false;4849
2920;153;false;16075
2870;246;false;8094
2090;113;false;8585
1160;180;false;1415
2330;126;false;5110
2790;246;false;7700
1420;246;false;2488
2720;113;false;13685
2800;260;false;7421
1310;286;false;1836
2550;140;false;6018
1930;166;false;3836
2000;273;false;8337
2100;140;false;4410
1770;166;false;3219
1050;206;false;1106
2990;300;false;8610
2260;233;false;10176
1360;273;false;3816
2700;273;false;14132
1740;140;false;3105
3000;166;false;8734
2690;113;false;13714
2350;286;false;5372
2490;193;false;11916
2640;260;false;7292
1250;140;false;1569
2670;260;false;7074
2960;113;false;16071
2150;220;false;4680
1870;300;false;3670
2650;180;false;6977
2120;166;false;4475
2250;220;false;5372
2120;206;false;4622
1320;193;false;3474
1970;153;false;7801
1750;180;false;3152
1010;273;false;2130
1120;260;false;1351
1480;153;false;4319
2480;233;false;11545
1650;140;false;2767
1190;180;false;1463
2630;300;false;6958
2180;180;false;4942
1630;153;false;5330
2460;113;false;12094
1300;126;false;1730
2930;166;false;8261
2410;233;false;11304
2840;166;false;7920
2980;260;false;8459
2270;233;false;10341
2390;113;false;12111
2960;300;false;8469
2930;113;false;16423
1670;300;false;2934
2970;233;false;21946
1890;206;false;3701
2490;140;false;6220
2790;300;false;7643
1540;286;false;2380
1230;246;false;1802
2010;246;false;4241
1320;233;false;3531
2570;246;false;6377
1020;260;false;1104
2520;300;false;6570
1450;153;false;4226
2540;153;false;12300
1630;220;false;2753
2640;166;false;6789
2560;153;false;12649
1640;113;false;5431
2870;113;false;15258
2180;206;false;4904
1060;113;false;2155
2330;153;false;11695
1150;246;false;1387
2980;246;false;8648
2900;246;false;8161
1830;113;false;6971
1860;260;false;3722
2520;286;false;6319
2150;153;false;9201
1830;233;false;6731
2620;300;false;6842
